Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
9,609;9,609;0,205677;-0,0402365;0,00244286;0;0,800348;0;1
9,649;9,649;0,20541;-0,054241;0,00251373;0,000839711;0,82087;0,349872;1
9,689;9,689;0,20541;-0,054241;0,00251373;0;0,82087;0;1
9,729;9,729;0,204693;-0,0661294;0,00246311;0,000838361;0,819342;0,297488;1
9,769;9,769;0,204693;-0,0661294;0,00246311;0;0,819342;0;1
9,809;9,809;0,203309;-0,0773059;0,00246446;0,00075466;0,821538;0,281302;1
9,849;9,849;0,203309;-0,0773059;0,00246446;0;0,821538;0;1
9,889;9,889;0,201917;-0,0875457;0,00246716;0,000890337;0,779258;0,258125;1
9,929;9,929;0,201917;-0,0875457;0,00246716;0;0,779258;0;1
9,969;9,969;0,201917;-0,0875457;0,00246716;0;0,779258;0;1
10,009;10,009;0,20005;-0,0984006;0,00257718;0,000857936;0,781382;0,275108;1
10,049;10,049;0,20005;-0,0984006;0,00257718;0;0,781382;0;1
10,089;10,089;0,20005;-0,0984006;0,00257718;0;0,781382;0;1
10,129;10,129;0,20005;-0,0984006;0,00257718;0;0,781382;0;1
10,169;10,169;0,20005;-0,0984006;0,00257718;0;0,781382;0;1
10,209;10,209;0,20005;-0,0984006;0,00257718;0;0,781382;0;1
10,249;10,249;0,188487;-0,102359;0,00236996;0,000515707;0,727356;0,30528;1
10,289;10,289;0,188487;-0,102359;0,00236996;0;0,727356;0;1
10,329;10,329;0,188487;-0,102359;0,00236996;0;0,727356;0;1
10,369;10,369;0,175189;-0,0996528;0,00235511;0,00103141;0,652261;0,338954;1
10,409;10,409;0,175189;-0,0996528;0,00235511;0;0,652261;0;1
10,449;10,449;0,16327;-0,095453;0,00229166;0,000929487;0,684156;0,315653;1
10,489;10,489;0,16327;-0,095453;0,00229166;0;0,684156;0;1
10,529;10,529;0,149741;-0,0885947;0,00232811;0,000996313;0,759548;0,378881;1
10,569;10,569;0,149741;-0,0885947;0,00232811;0;0,759548;0;1
10,609;10,609;0,13529;-0,0789114;0,00228491;0,000779635;0,755152;0,434505;1
10,649;10,649;0,13529;-0,0789114;0,00228491;0;0,755152;0;1
10,689;10,689;0,121192;-0,0665011;0,00239358;0,00125349;0,773278;0,469138;1
10,73;10,73;0,121192;-0,0665011;0,00239358;0;0,773278;0;1
10,77;10,77;0,108917;-0,0516583;0,00247526;0,00131492;0,759607;0,481107;1
10,81;10,81;0,103365;-0,043243;0,00246581;0,00141212;0,770879;0,251811;1
10,85;10,85;0,0981478;-0,0344358;0,00248606;0,00137432;0,770853;0,25569;1
10,89;10,89;0,093233;-0,0255925;0,00249551;0,00109756;0,787351;0,252704;1
10,93;10,93;0,093233;-0,0255925;0,00249551;0;0,787351;0;1
10,97;10,97;0,0841269;-0,0081697;0,00253533;0,000948387;0,79991;0,491032;1
11,01;11,01;0,0841269;-0,0081697;0,00253533;0;0,79991;0;1
11,05;11,05;0,0773589;0,00806322;0,00253938;0,00138039;0,805457;0,439287;1
11,09;11,09;0,0773589;0,00806322;0,00253938;0;0,805457;0;1
11,13;11,13;0,0740506;0,022015;0,00250226;0,00104019;0,792334;0,358143;1
11,17;11,17;0,0740506;0,022015;0,00250226;0;0,792334;0;1
11,21;11,21;0,073623;0,0345069;0,00241181;0,00072226;0,789004;0,312201;1
11,25;11,25;0,073623;0,0345069;0,00241181;0;0,789004;0;1
11,29;11,29;0,0757974;0,0469536;0,00245973;0,000936237;0,805955;0,315596;1
11,33;11,33;0,0757974;0,0469536;0,00245973;0;0,805955;0;1
11,37;11,37;0,0800076;0,0595066;0,00249348;0,001564;0,720678;0,330708;1
11,41;11,41;0,0800076;0,0595066;0,00249348;0;0,720678;0;1
11,45;11,45;0,0852146;0,0712591;0,00259811;0,000895062;0,742682;0,321068;1
11,49;11,49;0,0852146;0,0712591;0,00259811;0;0,742682;0;1
